sol_id,roi_pct,riesgo,n_cats,hhi,capital_usd,ganancia_usd,n_skus,categorias,skus_top3,tipo
10,68.02,6.5095,11,0.1182,4994.96,3397.4,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd|tarjetas_video,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
11,70.78,5.1618,8,0.1411,3780.93,2676.01,13,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
12,68.87,4.1456,8,0.1354,4160.46,2865.26,15,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700,normal
13,68.06,4.5327,9,0.1156,4352.62,2962.19,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700",normal
14,70.95,4.6753,8,0.1626,4561.87,3236.42,14,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Monitor gaming G Pro 27i de 27 2K QHD Fast IPS 180Hz 1Ms,normal
15,71.87,3.7337,6,0.2033,4396.67,3159.96,12,cpu|discos_ssd|memorias_ram|monitores|procesadores|ssd,Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
16,69.07,3.606,7,0.204,3663.72,2530.58,13,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0,normal
17,68.14,5.4674,10,0.1152,4996.79,3404.95,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700,normal
18,70.42,5.3945,9,0.161,4875.84,3433.54,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
19,68.1,5.8017,10,0.1072,4769.68,3248.07,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd|tarjetas_video,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
