sku_local,source_local,title_local,model_key_local,price_local,category_local,sku_import,source_import,title_import,model_key_import,price_import,category_import,match_score,price_ratio,gap_usd,gap_pct,category
145123658,falabella_pe,Monitor Gaming Odyssey G3 de 32 180HZ 1MS HDR10 FreeSync,180HZ,353.0,monitores,v1|168120965009|0,ebay_usa,Acer Nitro 27 inch QHD 2K 1440P 180Hz IPS AMD FreeSync (AMD Adaptive Sync),180HZ,321.58,unknown,100.0,1.097705081161764,31.420000000000016,9.770508116176385,monitores
145123658,falabella_pe,Monitor Gaming Odyssey G3 de 32 180HZ 1MS HDR10 FreeSync,180HZ,353.0,monitores,v1|117317476039|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,2.0171428571428573,178.0,101.71428571428571,monitores
145122662,falabella_pe,"MONITOR PLANO HP SERIES 3 PRO 324PF 23.8"" FHD IPS 1920X1080 100HZ DP",100HZ,190.8,monitores,v1|127956430385|0,ebay_usa,Samsung S27D368GAN 27IN S36SD 16:9 CURVED TAA 100HZ 1920X1080 HAS HDMI/DP 1YR,100HZ,270.38,unknown,100.0,0.7056734965603966,-79.57999999999998,-29.432650343960347,monitores
145108669,falabella_pe,Monitor Gaming Odyssey G8 OLED 27” OLED 4K UHD 240hz 03ms,240HZ,1617.93,monitores,v1|168475082793|0,ebay_usa,ASUS ProArt 27 inch UHD 4K 240Hz OLED Professional Computer Monitor Auto,240HZ,2148.48,unknown,100.0,0.7530579758713137,-530.55,-24.69420241286863,monitores
145108669,falabella_pe,Monitor Gaming Odyssey G8 OLED 27” OLED 4K UHD 240hz 03ms,240HZ,1617.93,monitores,v1|168372338896|0,ebay_usa,Acer Predator 27 inch UHD 4K 240Hz AMD FreeSync Premium Pro & G-Sync Compatible,240HZ,1018.22,unknown,100.0,1.5889788061519121,599.71,58.89788061519122,monitores
145108669,falabella_pe,Monitor Gaming Odyssey G8 OLED 27” OLED 4K UHD 240hz 03ms,240HZ,1617.93,monitores,v1|167622137426|0,ebay_usa,"GIGABYTE 27 inch UHD 4K 240Hz with AMD FreeSync Premium Pro &, G-SYNC Compatible",240HZ,1099.18,unknown,100.0,1.471942720937426,518.75,47.194272093742605,monitores
145108669,falabella_pe,Monitor Gaming Odyssey G8 OLED 27” OLED 4K UHD 240hz 03ms,240HZ,1617.93,monitores,v1|127976408943|0,ebay_usa,ASUS ProArt 27 inch UHD 4K 240Hz OLED Professional Computer Monitor PA27UCDMR,240HZ,1299.99,unknown,100.0,1.2445711120854777,317.94000000000005,24.45711120854776,monitores
145123658,falabella_pe,Monitor Gaming Odyssey G3 de 32 180HZ 1MS HDR10 FreeSync,180HZ,353.0,monitores,v1|206261773051|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,2.0171428571428573,178.0,101.71428571428571,monitores
145075445,falabella_pe,Monitor 32U631A-B 32 IPS QHD 100Hz 5ms USB-C,100HZ,411.83,monitores,v1|127956430385|0,ebay_usa,Samsung S27D368GAN 27IN S36SD 16:9 CURVED TAA 100HZ 1920X1080 HAS HDMI/DP 1YR,100HZ,270.38,unknown,100.0,1.523152600044382,141.45,52.315260004438194,monitores
154525508,falabella_pe,"Monitor Gaming Ultragear 27G411A-B, 27 FHD IPS, 144Hz, 5ms",144HZ,147.67,monitores,v1|126545529375|0,ebay_usa,VIOTEK GNV27DB2 27” Curved 144hz Gaming Monitor,144HZ,99.99,unknown,100.0,1.4768476847684768,47.67999999999999,47.68476847684768,monitores
144984558,falabella_pe,UNIDAD DE ESTADO SOLIDO SSD LEGEND 860 1 TB M.2 2280 NVME PCIE 4.0 GEN4,1 TB M.2,328.63,discos_ssd,v1|198472290137|0,ebay_usa,Kioxia LSF10Z001TG8 internal solid state drive 1 TB M.2 PCI Express 4.0 NVMe,1 TB M.2,218.78,unknown,100.0,1.5021025687905658,109.85,50.21025687905658,discos_ssd
144962845,falabella_pe,MONITOR GAMER ULTRAGEAR 24 24GS65F-B FULL HD PANEL IPS 180HZ 1MS,180HZ,264.75,monitores,v1|206261773051|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,1.512857142857143,89.75,51.28571428571429,monitores
144962845,falabella_pe,MONITOR GAMER ULTRAGEAR 24 24GS65F-B FULL HD PANEL IPS 180HZ 1MS,180HZ,264.75,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,1.8912065147510535,124.75999999999999,89.12065147510535,monitores
144962845,falabella_pe,MONITOR GAMER ULTRAGEAR 24 24GS65F-B FULL HD PANEL IPS 180HZ 1MS,180HZ,264.75,monitores,v1|168120965009|0,ebay_usa,Acer Nitro 27 inch QHD 2K 1440P 180Hz IPS AMD FreeSync (AMD Adaptive Sync),180HZ,321.58,unknown,100.0,0.8232788108713229,-56.829999999999984,-17.672118912867713,monitores
145123658,falabella_pe,Monitor Gaming Odyssey G3 de 32 180HZ 1MS HDR10 FreeSync,180HZ,353.0,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,2.521608686334738,213.01,152.1608686334738,monitores
145221116,falabella_pe,MONITOR SAMGUNG LS27D300GA PLANO 27 FHD IPS 100HZ 5ms HDMI VGA,100HZ,200.04,monitores,v1|127956430385|0,ebay_usa,Samsung S27D368GAN 27IN S36SD 16:9 CURVED TAA 100HZ 1920X1080 HAS HDMI/DP 1YR,100HZ,270.38,unknown,100.0,0.7398476218655226,-70.34,-26.015237813447744,monitores
145305486,falabella_pe,"Laptop ZBook Firefly 14 G8 I7 11va 16GB 1TB SSD 14"" Reacondicionada Garantía 1 año + Cooler","1TB SSD | 14""",880.76,laptops,v1|227219643997|0,ebay_usa,"Acer Aspire 14"" Laptop, Intel Core Ultra 7 Processor, 16GB Memory, 1TB SSD, AI C","1TB SSD | 14""",999.0,unknown,100.0,0.8816416416416416,-118.24000000000001,-11.835835835835837,laptops
154525508,falabella_pe,"Monitor Gaming Ultragear 27G411A-B, 27 FHD IPS, 144Hz, 5ms",144HZ,147.67,monitores,v1|117321013443|0,ebay_usa,27 1920x1080 IPS 144Hz 0.5ms 1H1DP Adaptive Sync HDR10,144HZ,145.86,unknown,100.0,1.0124091594679827,1.8099999999999739,1.2409159467982818,monitores
